time_delta,purchase_value,source,browser,sex,age,ip_country,class
84226.0,9,1,0,0,39,29,0
124953.0,15,2,3,0,28,0,0
53645.0,11,1,0,0,34,0,0
18697.0,25,0,0,1,18,30,0
17513.0,33,1,1,0,37,0,0
49353.0,29,2,3,0,41,0,0
39414.0,44,1,0,1,38,4,1
12595.0,10,1,0,1,48,0,0
122464.0,51,2,0,1,35,4,0
111729.0,108,2,1,0,37,0,0
771.0,33,1,2,0,31,5,0
78599.0,46,0,0,1,28,8,0
156810.0,35,2,0,1,30,2,0
48895.0,27,2,0,1,35,0,0
151353.0,11,1,0,0,35,8,0
129369.0,48,0,1,0,30,0,0
43441.0,18,1,0,0,30,26,1
52851.0,25,2,1,0,37,0,1
106923.0,34,2,1,0,21,23,0
106930.0,22,2,0,0,23,0,0
160822.0,41,2,1,1,31,0,0
10536.0,21,0,0,1,36,8,0
82980.0,29,2,0,1,34,26,0
111129.0,26,2,2,0,28,19,0
5855.0,56,0,0,0,30,3,0
125357.0,32,2,0,0,30,8,0
154753.0,47,1,3,1,35,18,0
125719.0,84,1,2,1,36,0,0
158840.0,32,2,2,0,35,0,0
41389.0,29,1,1,0,47,8,0
85382.0,10,1,0,0,24,4,0
161429.0,56,2,0,0,50,1,0
71827.0,28,1,0,0,27,0,0
163765.0,38,1,0,1,53,8,0
37691.0,56,1,1,0,49,0,0
83023.0,48,2,0,0,29,4,0
35643.0,13,2,0,0,20,0,0
0.0,62,1,0,0,35,7,1
22465.0,71,1,1,1,37,0,0
127186.0,63,1,0,0,53,7,0
0.0,32,0,2,0,38,14,1
76033.0,23,0,2,0,37,4,0
151413.0,40,1,1,1,46,0,0
29778.0,15,1,1,1,26,31,1
7029.0,51,0,1,1,34,0,0
97235.0,28,1,0,1,43,26,0
77490.0,49,1,1,1,51,7,1
59462.0,37,2,3,1,30,7,0
172451.0,69,0,0,0,41,6,0
91872.0,41,2,0,0,25,7,0
68475.0,39,2,3,1,37,7,0
47133.0,17,2,3,0,39,3,0
60346.0,61,0,0,0,28,0,0
29573.0,15,0,0,1,48,0,0
32370.0,26,2,3,1,40,26,0
145078.0,43,1,1,0,28,0,0
91384.0,60,0,3,0,60,7,0
153989.0,20,1,0,0,34,8,0
172625.0,29,2,0,1,51,32,0
12676.0,27,2,2,1,33,3,0
5815.0,55,1,3,0,40,0,0
57159.0,12,2,3,1,36,8,0
151466.0,40,2,4,1,48,8,0
107962.0,37,1,0,1,52,0,0
20353.0,49,1,3,1,49,0,0
113998.0,44,2,3,1,29,13,0
122161.0,48,2,3,1,32,33,0
51125.0,24,0,1,0,41,8,0
107174.0,59,0,3,0,31,0,0
0.0,49,1,2,0,51,0,1
29416.0,37,1,3,0,41,0,0
0.0,86,1,0,1,18,8,1
169253.0,31,1,1,1,25,4,0
59128.0,35,1,1,0,32,19,0
97159.0,47,2,2,0,41,26,0
126792.0,46,1,1,1,54,26,0
90188.0,43,2,1,1,39,18,0
58945.0,76,0,2,0,23,8,0
157985.0,54,1,0,1,27,23,0
8419.0,38,2,2,1,29,0,1
90095.0,66,1,0,1,37,0,0
19238.0,35,1,0,1,23,4,0
81228.0,75,1,0,1,37,0,0
12124.0,24,2,1,1,35,34,0
43736.0,17,1,3,0,33,0,0
34330.0,44,2,3,0,44,0,0
73716.0,37,1,4,1,34,0,0
22541.0,51,2,2,1,28,4,0
29329.0,61,0,0,1,43,14,0
162427.0,21,2,4,0,32,0,0
57242.0,18,0,2,0,40,8,0
108447.0,12,2,0,1,35,7,0
113248.0,37,1,3,0,43,8,0
68828.0,34,2,1,1,28,29,0
81949.0,17,1,0,0,40,26,0
20560.0,25,2,0,1,45,4,0
65274.0,50,0,0,0,33,3,0
171397.0,28,1,3,0,22,18,0
164162.0,43,0,1,0,33,0,1
153612.0,28,2,2,0,42,0,0
98998.0,76,0,1,0,39,0,0
78132.0,24,2,3,0,27,0,0
166557.0,68,2,0,1,33,14,0
58175.0,52,2,2,1,31,0,0
21005.0,68,2,0,1,35,0,0
129736.0,41,0,2,0,39,0,0
59868.0,24,2,1,1,33,0,0
146164.0,16,1,2,0,31,8,0
68372.0,23,1,3,0,32,5,0
46041.0,49,1,0,1,31,35,0
38834.0,38,2,0,0,24,4,0
77687.0,21,1,1,0,24,12,0
18156.0,25,1,4,1,20,17,0
92557.0,61,0,0,0,22,0,0
165551.0,25,0,0,0,40,0,0
11041.0,34,2,1,1,22,7,0
57907.0,23,1,3,0,26,3,0
45133.0,30,2,2,0,22,8,0
168557.0,71,1,3,1,30,0,0
40550.0,38,1,0,1,24,7,0
0.0,90,1,1,0,34,2,1
35153.0,49,2,3,1,24,4,0
73585.0,9,1,2,0,42,36,0
137586.0,27,1,3,0,41,0,0
20491.0,52,2,3,1,39,17,0
119354.0,34,1,1,0,33,37,0
70827.0,41,2,1,0,31,0,0
76977.0,52,1,3,1,32,0,0
14285.0,42,2,1,1,22,4,0
63464.0,9,1,0,1,37,0,0
15832.0,31,1,0,1,29,7,0
86637.0,27,2,0,1,51,20,0
106320.0,27,2,0,1,31,0,0
28140.0,17,0,3,0,31,18,0
111458.0,42,2,2,0,41,26,0
149751.0,29,2,0,1,47,8,0
163464.0,45,0,1,1,34,0,0
13561.0,54,0,0,0,23,4,0
117908.0,13,2,2,0,29,20,0
43356.0,31,1,0,1,29,0,0
151165.0,54,0,1,0,20,0,1
113688.0,25,1,1,1,25,0,0
161789.0,32,2,1,0,29,8,0
47454.0,78,2,3,1,41,38,0
137640.0,51,2,0,0,24,0,1
105809.0,36,0,0,0,24,17,0
39069.0,37,1,1,0,47,39,0
54729.0,55,1,3,0,43,0,0
140893.0,29,1,0,1,39,0,0
96567.0,33,2,3,1,24,0,0
164451.0,33,1,1,1,51,0,0
10123.0,66,2,1,0,29,0,0
140838.0,38,0,2,1,32,0,0
136421.0,39,2,2,0,42,17,0
81230.0,17,2,0,0,30,17,0
47094.0,19,2,1,0,28,7,0
137429.0,11,0,3,1,41,7,0
111722.0,49,2,2,1,59,0,0
135103.0,28,2,3,0,27,30,0
116010.0,9,0,0,0,41,33,0
167383.0,35,1,3,1,29,23,0
106280.0,128,1,0,1,47,40,0
89533.0,28,2,0,1,38,0,0
22497.0,54,2,0,0,27,0,0
25135.0,24,2,1,1,31,1,0
147939.0,46,1,4,0,26,15,0
21581.0,16,1,0,0,27,17,0
49787.0,19,1,0,0,18,0,0
27092.0,36,2,1,0,36,0,0
126268.0,15,2,2,1,41,32,0
112979.0,62,1,4,0,30,0,1
48478.0,13,1,0,0,29,0,0
89802.0,52,2,0,1,18,0,0
168208.0,48,1,3,0,33,7,0
159054.0,39,2,0,0,26,0,0
131129.0,38,1,0,0,23,0,0
142876.0,20,1,3,0,26,0,0
14919.0,37,1,0,0,38,0,0
151887.0,24,1,3,0,34,1,0
9504.0,29,0,0,1,38,41,0
24937.0,53,2,0,1,18,7,0
139589.0,55,0,0,1,26,19,1
134299.0,32,2,1,0,22,12,0
107982.0,24,0,0,1,27,17,0
80178.0,39,0,0,0,24,38,0
46637.0,11,2,0,1,30,17,0
123358.0,57,0,0,1,20,18,0
104710.0,69,1,0,1,34,0,0
168570.0,54,1,1,1,24,3,0
110050.0,20,1,1,0,26,0,0
6904.0,35,1,0,0,25,12,0
65702.0,25,1,3,1,25,0,0
88419.0,23,2,0,0,19,0,0
151665.0,78,1,0,0,18,17,0
0.0,32,0,2,0,38,14,1
123577.0,43,2,1,1,33,0,0
0.0,59,2,0,0,33,1,1
119252.0,73,2,0,0,29,0,0
86396.0,61,1,3,1,26,8,1
104053.0,26,0,1,1,42,16,0
58005.0,16,1,2,0,44,4,0
55151.0,27,1,3,0,38,3,0
99187.0,47,1,1,0,27,4,0
0.0,20,0,1,0,31,0,1
7943.0,13,2,0,0,46,42,0
18798.0,56,2,1,0,23,17,0
159522.0,75,1,1,0,42,23,0
45459.0,39,0,0,0,45,18,0
68009.0,33,1,1,1,26,20,0
52643.0,63,2,1,0,42,4,0
54449.0,42,0,2,0,44,4,0
90048.0,50,1,4,1,38,0,0
161732.0,46,2,0,1,18,16,0
144593.0,25,1,2,0,39,4,0
62332.0,34,1,4,0,37,17,0
42353.0,21,0,3,1,28,0,0
62871.0,13,2,2,0,23,43,0
141543.0,11,1,2,0,30,0,0
111547.0,67,1,3,1,25,4,0
104626.0,107,2,3,0,24,44,0
145678.0,10,2,0,0,57,0,0
118457.0,22,1,1,0,33,8,0
20221.0,21,1,1,0,27,1,0
80948.0,37,1,3,0,41,18,0
149374.0,37,0,3,1,47,3,0
27300.0,39,0,2,0,28,0,0
11731.0,13,2,0,1,22,4,0
145124.0,42,1,1,0,43,0,0
89001.0,23,2,1,0,40,27,0
47886.0,42,2,2,0,31,17,0
28073.0,65,2,3,0,29,3,0
3900.0,58,2,0,0,41,0,0
33445.0,45,2,0,0,21,0,0
148837.0,47,2,1,1,34,0,0
53249.0,11,2,3,0,25,0,0
91306.0,38,1,0,1,33,4,0
136013.0,40,2,4,0,30,27,0
69878.0,17,1,2,0,31,12,0
114755.0,59,0,2,0,26,8,0
159547.0,15,2,0,0,34,0,0
158889.0,28,0,1,0,20,0,0
25792.0,38,1,0,0,32,0,0
12152.0,29,0,3,0,28,41,0
0.0,39,2,1,1,40,0,1
104455.0,49,1,2,0,26,0,0
101237.0,22,2,2,1,37,1,0
109190.0,35,1,1,0,37,0,0
145792.0,46,1,2,0,31,8,0
0.0,42,1,0,0,38,0,1
158111.0,46,1,0,0,22,8,0
99952.0,36,2,0,0,35,3,0
100609.0,23,1,0,0,34,0,0
95781.0,40,2,2,0,41,0,0
15371.0,68,1,1,1,30,0,0
139380.0,41,1,3,0,32,4,1
90688.0,35,1,0,1,35,23,0
142262.0,38,1,3,1,46,0,0
64796.0,51,0,0,0,31,4,0
15489.0,10,1,1,0,28,0,0
30580.0,80,1,0,0,20,18,0
39150.0,60,2,0,1,32,0,0
0.0,34,0,0,0,39,4,1
25831.0,29,1,3,0,26,0,0
50645.0,9,2,1,0,19,25,0
158398.0,25,2,0,0,28,0,0
49739.0,14,1,1,0,31,4,0
121718.0,19,1,1,1,37,0,0
170124.0,40,1,0,1,49,0,0
111008.0,57,2,0,1,30,8,0
171251.0,19,2,0,1,24,0,0
42220.0,36,2,3,1,40,4,0
85740.0,22,1,0,1,22,8,0
12695.0,30,0,1,0,21,0,1
29566.0,43,2,1,0,41,0,0
122084.0,40,1,0,1,32,4,0
31300.0,43,2,2,1,33,4,0
148491.0,26,1,0,0,28,17,0
2740.0,33,0,1,1,24,0,0
21137.0,58,1,3,0,25,0,0
123261.0,62,2,0,0,22,0,0
20937.0,19,2,0,0,42,4,0
36628.0,36,0,0,0,22,19,0
14660.0,67,1,1,1,24,0,0
83259.0,54,1,2,0,57,0,0
23714.0,26,0,0,1,39,0,0
49416.0,60,2,3,0,46,0,0
40311.0,64,1,3,0,24,5,0
138030.0,66,2,3,0,41,1,0
8742.0,75,0,3,1,42,34,0
4109.0,53,1,1,0,29,17,0
46148.0,15,1,0,0,51,4,0
37626.0,48,2,0,0,29,0,0
1491.0,15,2,4,1,46,14,0
112372.0,9,0,3,1,34,8,0
61959.0,40,1,0,1,26,0,0
50772.0,60,2,2,0,47,5,0
78667.0,27,1,1,1,35,34,1
19243.0,27,0,3,0,40,8,0
3663.0,17,2,3,0,37,4,0
142129.0,26,2,2,1,41,8,0
26902.0,16,2,2,0,38,0,0
48648.0,21,2,0,0,39,0,0
126291.0,15,2,0,1,24,28,0
31076.0,43,1,0,0,31,17,0
124399.0,25,2,3,0,44,0,0
69840.0,73,2,1,0,26,3,0
141069.0,58,2,3,1,48,15,0
95382.0,44,1,2,1,35,40,0
149304.0,11,1,0,1,26,4,0
3859.0,14,0,0,0,32,0,0
36249.0,18,1,0,1,47,4,0
11630.0,47,1,0,1,38,4,0
121457.0,31,2,1,1,37,45,0
926.0,28,2,3,1,25,0,0
6517.0,40,2,0,0,36,34,0
125697.0,32,2,3,1,40,46,0
23910.0,30,0,3,0,29,0,0
79672.0,34,1,0,1,31,8,0
30302.0,50,2,0,0,36,20,0
108026.0,29,1,1,0,29,5,0
0.0,36,2,2,0,45,18,1
0.0,35,2,3,0,23,1,1
24600.0,79,0,3,1,31,18,0
163058.0,41,1,1,0,33,8,0
131912.0,51,0,0,1,29,0,0
10416.0,33,1,0,1,36,35,0
106093.0,17,2,3,0,40,4,0
164987.0,39,2,3,0,31,0,1
120755.0,36,2,3,0,37,2,0
122185.0,34,2,3,0,23,0,0
117578.0,35,1,0,1,20,0,0
47954.0,12,2,0,1,41,8,0
97847.0,12,2,4,1,37,0,0
94743.0,29,1,3,0,26,4,0
138559.0,63,2,0,0,21,0,0
77809.0,29,0,2,0,38,20,0
25896.0,39,2,1,1,31,0,0
106872.0,25,1,2,1,43,4,0
61813.0,89,1,0,1,29,0,0
2549.0,57,1,2,1,24,4,0
23864.0,27,0,3,0,33,47,0
134333.0,11,0,0,0,38,0,0
83911.0,64,1,3,0,36,8,0
164678.0,67,1,2,1,40,19,0
92162.0,44,2,0,0,31,48,0
156597.0,22,2,2,1,29,8,0
148133.0,22,2,1,1,21,0,0
48514.0,43,2,3,1,32,1,1
114508.0,42,1,3,1,32,4,0
20383.0,60,1,0,1,26,0,0
79371.0,20,2,1,1,23,38,0
155352.0,58,2,1,1,29,1,0
150424.0,72,2,1,1,41,0,0
41586.0,32,0,1,0,36,8,0
76734.0,10,1,2,0,32,0,0
81702.0,25,2,2,0,38,18,0
52277.0,13,1,0,0,48,8,0
40486.0,47,2,0,0,31,45,0
0.0,9,1,2,1,18,4,1
171459.0,33,1,0,0,26,4,0
133852.0,35,1,4,0,24,0,0
119072.0,49,1,0,0,22,8,0
105548.0,75,1,0,0,25,2,0
120485.0,29,1,0,0,33,0,0
88418.0,33,2,0,1,35,0,0
0.0,24,2,0,0,37,0,1
39700.0,20,0,0,0,41,8,0
44280.0,36,0,3,0,35,17,0
145494.0,12,0,0,1,33,4,0
145966.0,21,2,1,1,28,0,0
52125.0,59,1,1,0,40,28,0
115948.0,38,1,3,0,41,49,0
64022.0,25,0,2,1,23,4,0
15132.0,36,1,2,0,27,4,0
149550.0,17,2,1,0,52,50,0
60460.0,44,2,2,1,45,8,0
20228.0,11,1,3,0,30,0,0
147044.0,34,0,0,0,40,0,1
107996.0,29,2,0,0,33,14,0
45203.0,19,1,2,1,29,4,0
109300.0,55,2,2,0,33,0,0
41929.0,57,1,0,0,36,17,0
45446.0,24,2,0,0,24,2,0
77125.0,21,0,0,0,31,0,0
98016.0,51,1,0,1,26,51,0
110764.0,37,1,0,0,62,4,0
141231.0,35,1,0,0,35,0,0
18512.0,51,2,2,0,39,19,0
119811.0,38,2,0,0,48,0,0
147192.0,9,1,2,1,37,1,0
139922.0,49,0,0,1,36,26,1
0.0,57,0,2,0,18,14,1
77899.0,39,2,0,0,28,52,0
105653.0,89,1,0,0,36,8,0
77622.0,52,1,1,0,34,53,0
38658.0,12,0,1,1,18,4,0
105821.0,65,0,0,1,34,4,0
158343.0,27,2,3,1,46,8,0
78037.0,23,0,0,0,38,4,0
161777.0,18,1,3,0,34,8,0
149898.0,32,1,0,1,43,4,0
9030.0,70,0,0,0,38,0,0
33673.0,11,1,0,0,36,4,1
134316.0,24,1,2,1,25,16,0
88573.0,13,2,0,0,33,0,0
38052.0,28,1,2,0,33,9,0
68863.0,27,0,1,0,32,7,0
20481.0,16,1,0,1,30,1,0
0.0,10,2,3,0,23,17,1
73588.0,33,1,0,0,40,32,0
104655.0,60,0,0,0,37,54,0
141452.0,50,2,0,1,24,0,0
165727.0,11,2,1,1,28,0,0
104627.0,30,2,3,0,26,0,0
29262.0,34,1,2,0,26,2,0
136922.0,25,0,3,0,36,29,0
88916.0,53,1,3,0,37,8,0
110357.0,34,1,3,0,30,0,0
33819.0,48,1,0,1,26,0,0
161693.0,19,2,0,0,31,4,0
103826.0,35,1,1,1,30,4,0
1.0,16,0,2,0,28,4,1
171449.0,23,1,3,0,27,0,0
73257.0,84,1,0,1,33,4,0
123827.0,41,2,0,1,19,4,0
22609.0,56,2,1,1,41,55,0
81800.0,31,1,2,1,32,0,0
172432.0,72,2,1,1,39,0,0
103478.0,23,0,2,0,34,7,0
55303.0,37,1,0,1,36,47,0
103505.0,24,1,0,0,29,1,0
34258.0,26,2,1,1,55,4,0
27702.0,42,2,0,0,45,4,0
86456.0,96,2,3,1,54,19,0
34605.0,37,2,0,0,24,2,0
106162.0,39,1,0,1,21,0,0
34238.0,39,1,1,1,24,0,0
29163.0,39,0,0,1,25,4,0
161794.0,48,1,1,0,35,2,0
25294.0,45,1,0,0,28,3,0
75336.0,49,2,3,1,30,0,1
10940.0,11,2,3,0,39,0,0
165762.0,66,1,1,1,37,0,0
21172.0,46,2,2,0,24,5,0
125372.0,77,0,1,0,36,6,0
111693.0,16,2,1,1,32,0,0
147981.0,46,0,2,1,33,26,0
30479.0,35,1,2,0,57,46,0
113805.0,21,1,3,0,33,0,0
86492.0,44,1,0,0,31,0,0
41417.0,33,2,2,0,35,0,0
0.0,42,2,3,0,48,4,1
140588.0,59,2,0,1,26,0,0
20828.0,13,0,0,1,37,8,0
29716.0,51,0,0,1,33,3,0
168606.0,36,2,0,1,26,2,0
12569.0,14,1,2,0,34,8,0
0.0,29,2,0,0,31,0,1
8498.0,43,2,1,0,24,0,0
116356.0,84,1,1,0,19,4,0
57961.0,18,1,0,1,20,0,0
17527.0,64,0,0,0,41,0,0
135114.0,37,1,1,0,38,4,0
53364.0,55,1,2,0,38,0,0
0.0,32,2,0,1,21,5,1
68938.0,10,2,1,0,32,4,0
10305.0,41,1,0,1,28,25,0
4762.0,77,1,0,0,27,8,0
116283.0,45,1,3,0,26,4,0
42734.0,40,2,1,1,48,2,0
2017.0,25,1,2,1,31,4,0
91600.0,40,1,3,1,38,12,0
119655.0,12,1,3,1,39,17,0
53764.0,56,2,0,0,30,8,0
143925.0,11,2,2,1,28,4,0
0.0,21,0,3,1,29,2,1
170750.0,33,0,3,1,41,0,0
120826.0,37,1,1,1,21,0,0
92145.0,59,0,3,0,44,26,0
102265.0,38,1,0,0,32,0,0
82140.0,52,2,0,0,36,0,0
133080.0,40,1,0,1,39,7,0
120915.0,14,2,0,0,30,8,0
171951.0,34,1,1,0,38,0,0
110714.0,39,2,1,0,39,8,0
136418.0,73,1,2,1,27,0,0
112593.0,88,0,1,0,36,4,0
0.0,14,2,0,1,29,54,1
170343.0,74,1,2,1,34,0,0
114232.0,40,2,2,0,26,0,0
89480.0,21,1,2,0,21,17,0
87703.0,27,1,1,0,30,0,0
43599.0,49,2,2,0,24,15,0
15761.0,45,0,0,0,51,0,0
27418.0,61,1,0,1,41,3,0
116429.0,42,1,0,1,31,0,1
126810.0,55,1,0,0,35,56,0
157276.0,37,2,3,0,37,0,0
71334.0,35,1,2,0,50,0,0
126865.0,27,1,0,0,23,0,0
36752.0,30,0,2,1,30,0,0
167704.0,54,0,3,1,21,57,0
58770.0,50,1,2,0,49,0,0
110261.0,62,1,2,0,35,8,0
109713.0,34,2,0,1,26,0,0
10193.0,36,2,0,0,33,0,0
106369.0,62,1,0,0,26,4,0
131510.0,10,1,0,0,47,50,0
127367.0,55,2,4,1,24,0,0
82548.0,76,2,3,0,39,0,0
49919.0,56,2,3,0,42,13,0
83459.0,36,1,3,0,24,8,0
82165.0,72,2,3,0,32,0,0
132058.0,24,0,1,0,37,4,0
38004.0,15,2,1,0,46,5,0
77972.0,21,1,1,1,22,4,0
71215.0,14,1,0,0,35,4,0
104114.0,18,2,0,0,44,0,0
53883.0,55,1,0,1,50,0,0
167802.0,15,2,1,1,33,58,1
505.0,10,0,0,0,24,0,0
49344.0,55,1,0,1,35,49,0
153920.0,28,2,3,0,30,0,1
74660.0,24,2,2,1,42,8,0
104658.0,85,1,0,1,36,8,0
88310.0,10,2,0,0,41,2,0
107714.0,26,2,1,1,34,25,0
104824.0,23,0,0,0,30,18,0
136658.0,42,2,1,1,26,0,0
64395.0,12,2,2,0,32,8,0
101031.0,32,0,1,1,22,2,0
39237.0,25,2,1,1,26,4,1
71367.0,32,0,3,0,25,4,0
37639.0,26,2,3,1,33,1,0
21752.0,43,2,0,1,32,0,0
42752.0,40,2,4,0,18,8,0
154788.0,37,1,0,0,46,0,0
117003.0,12,1,0,1,39,0,0
140602.0,33,1,1,0,28,0,0
142082.0,59,2,0,0,28,0,0
129271.0,51,2,0,0,37,8,0
82409.0,24,2,0,1,27,0,0
171921.0,65,2,3,0,42,11,0
34945.0,21,2,0,1,33,0,0
120331.0,69,2,0,0,39,0,0
42049.0,27,1,0,1,20,0,0
80340.0,12,2,2,0,25,8,0
111603.0,82,2,2,0,44,0,0
110298.0,16,0,1,0,34,0,0
87250.0,38,2,1,1,34,48,0
155035.0,57,1,2,0,28,3,0
145021.0,26,1,4,0,26,0,1
12755.0,31,2,1,0,28,59,0
137195.0,47,2,2,0,42,0,0
19318.0,30,2,4,0,27,0,0
121524.0,68,2,1,0,25,28,0
51073.0,11,1,1,1,46,4,0
151083.0,37,0,0,0,35,0,0
121524.0,49,2,1,0,35,0,1
129912.0,32,2,2,1,31,4,0
56789.0,56,1,3,0,36,4,0
115724.0,30,2,2,0,25,4,0
1092.0,9,1,2,1,51,17,0
29485.0,27,2,3,0,39,0,0
67423.0,23,0,2,0,21,0,0
31029.0,55,1,1,1,29,17,0
0.0,40,1,0,0,35,29,1
114539.0,35,1,0,0,43,17,0
19074.0,26,2,0,0,25,60,0
171290.0,97,1,1,0,34,18,0
47251.0,44,0,3,0,19,13,0
0.0,46,2,0,0,24,0,1
54409.0,27,2,1,0,39,0,0
101241.0,29,1,2,1,21,0,0
31380.0,31,2,2,1,30,0,0
72531.0,11,2,0,1,26,0,0
67434.0,29,0,1,0,40,0,0
11443.0,57,1,2,1,49,7,0
128152.0,20,1,0,1,43,0,0
28594.0,14,0,2,1,31,0,0
49430.0,33,0,3,1,32,0,0
64613.0,36,1,4,0,41,5,0
68112.0,36,2,2,0,23,0,0
104269.0,28,2,1,0,40,8,0
44021.0,49,0,3,0,18,8,0
133712.0,19,1,1,0,27,0,0
102331.0,77,0,3,1,38,4,0
56819.0,30,2,3,0,34,0,0
115923.0,22,2,0,0,60,0,0
47169.0,35,0,1,1,32,8,0
8635.0,81,2,1,0,24,2,0
116961.0,16,0,0,0,33,0,1
19343.0,29,0,2,1,42,1,0
12877.0,81,2,2,0,37,4,0
